TCP Number,ESTC Number,EEBO Citation ID,Publisher
A24326,A183,7708627,"London : Printed by George Croom ..., 1684."
A47215,K257,7708760,"[S.l. : s.n., 1658?]"
A29730,B5,7708772,"Dublin : Printed by Benjamin Took and John Crook, and are to be sold by Mary Crook & Andrew Crook ..., 1681."
A24571,a217,7708785,"London : Printed by E. Mallet ..., 1686."
A26546,A761,7712830,"[London : Thomas Jenner, ca. 1655]"
A28517,B340,7750398,"Edinburgh : [s.n.], 1670."
A25982,A3918,7752317,"London : Printed for Francis Tyton ..., 1650."
A25345,A3079,7752759,"London : Printed for Robert Wilson ..., [1660?]"
A25373,A3112,7754130,"London, : [s.n.], Printed in the Year MDCXCIII [1693]"
A23717,A1114,7763164,"Printed at the Theater in Oxford and in London : For R. Scott, G. Wells, T. Sawbridge, R. Bentley, MDCLXXXIV."
A65075,V57,7786248,"[London] : Printed for Samuel Briscoe, 1697."
A64939,V383,7840472,"London : Printed for Tho. Cockerill, 1681."
A67073,W359,7840552,"London : Printed for John Barlet, 1641."
A66392,W270,7840569,"London : Printed for Richard Sare, 1696."
A65947,W204,7840589,"London : [s.n.], Printed in the year, 1692."
A65846,W190,7840599,"London : Printed by R.I. for Andrew Kembe, 1660."
A65084,V585,7840617,"London : [s.n.], Printed Anno Domini 1656."
A64881,V284,7840643,"London : Printed for R. Clavel, 1692."
A65194,V8,7840653,"London : Printed by Tho. James for the author, 1680."
A58674,S141,7840753,"London : Printed for R. Sare, and Publish'd by Randal Taylor, 1687."
A71025,S358A,7840765,"London : Printed for S. Heyrick, 1679."
A59271,S2635,7840779,"London : Printed for N.H., 1688."
A59665,S3114A,7840786,"London : Printed by J. Hayes for John Rothwell, 1660."
A27303,B1744,7869390,"London : Printed by R.H. for W. Canning, 1687."
A27309,B1752,7869500,"Dublin : Reprinted by Andrew Crook and Samuel Helsham, [1685?]"
A25782,A364,7869520,"Edinburgh : [s.n.], 1689."
A23988,A1417,7869578,"[Bo]ston : Printed by Bartholomew Green & John Allen, 1700."
A25271,A2986,7869615,"London : Printed for E. Richardson, 1691."
A25349,A3080,7869623,"[S.l. : s.n.], 1670."
A25364,A3103,7869628,"London : Printed by J.W. for Joshua Coniers, 1669."
A26058,A4026,7869634,"London : Printed for Daniel Brown, 1683."
A60353,S3974,7869685,"London : Printed for John Lawrence, 1693."
A60357,S3979,7869687,"London : Printed for Tho. Parkhurst and T. Cockerill, 1679."
