"data.hostItem.author";"data.hostItem.title";"data.hostItem.keywords";"data.hostItem.subject"
"Acron, Helenius";"Commentaria in Horatii opera";"commentary";"literature"
"Aesopus";"Fabulae [Latin] (Tr: Laurentius Valla)";"translation";"literature"
"Albumasar";"De magnis coniunctionibus. Ed: Johannes Angelus Trad: Johannes Hispalensis";"translation";"astrology"
"Alexander Carpentarius";"Destructorium vitiorum";;"theology-moral"
"Alexander Magnus";"Historia Alexandri Magni (Adapted by Leo Archipresbyter)";"classical studies";"history"
"Alexander VI, Pont. Max. (formerly Rodrigo Borgia)";"Bulla 7 Oct. 1494 ""Licet ea"" confirming the marriage of Henry VII and Elizabeth of York";"current affairs";"Law-canon"
"Alexander VI, Pont. Max. (formerly Rodrigo Borgia)";"Bulla 7 Oct. 1494 ""Licet ea"" confirming the marriage of Henry VII and Elizabeth of York";"current affairs";"Law-canon"
"Alexander de Villa Dei";"Doctrinale (Partes I-IV) (Comm: Johannes Synthen [I-II] and Jodocus Badius Ascensius [I-IV])";"commentary; education";"grammar"
"Amaseus, Hieronymus";"Vaticinium";"turcica; philosophy-political; prophetic works";"current affairs"
"Ammianus Marcellinus";"Historiae, libri XIV-XXVI. Ed: Angelus Sabinus";;"history"
"Antonio (Bettini) da Siena";"Monte santo di Dio";;"literature-devotional"
"Apollonius Rhodius";"Argonautica [Greek]. With the Scholia of Lucillus, Sophocles, and Theon. Ed: Janus Lascaris";"poetry; commentary";"literature"
"Apuleius Madaurensis, Lucius";"Opera. Ed: Johannes Andreas, bishop of Aleria";"collection";"literature"
"Aristophanes";"Comoediae novem [Greek]. Ed: Marcus Musurus, in part. With the Scholia";"commentary; theatre";"literature"
"Aristoteles";"De animalibus (Tr: Theodorus Gaza)";"translation; animals; education";"philosophy-natural"
"Aristoteles";"Problemata (Text beginning: Propter quid superabundantiae). Tr: Bartholomaeus de Messana. Comm: Petrus de Abano. Ed: Stephanus Illarius";"translation; commentary; education";"philosophy-logic"
"Augustinus, Aurelius";"De civitate dei. Comm: Thomas Waleys and Nicolaus Trivet";"philosophy-political";"theology-speculative"
"Aurelius Victor, Sextus";"De viris illustribus. Ed: Angelus Tiphernas";;"history"
"Avienus, Rufius Festus";"Arati phaenomena. Ed: Victor Pisanus. Add: Dionysius Periegetes: De situ orbis (Tr: Avienus). Avienus: Ora maritima. Aratus: Phaenomena (Tr: Germanicus, with comm). Aratus: Phaenomena (Tr: Cicero). Quintus Serenus Sammonicus: Carmen medicinale";"medicine; poetry; collection";"geography"
"Baptista Mantuanus";"De suorum temporum calamitatibus (Comm: Jodocus Badius Ascensius). With additions by Franciscus Ceretus and Bibacius Thiletanus";"religion; commentary; poetry";"literature moral"
"Benedictus, Alexander";"Diaria de bello Carolino. With additions by Quintus Aemilianus";"current affairs";"history"
"Bernardus Claravallensis";"De consideratione";;"theology"
"Boccaccio, Giovanni";"Genealogiae deorum. Additions by Dominicus Silvester. Add: De montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus, de nominibus maris";"encyclopedia; collection; classical studies";"literature"
"Boccaccio, Giovanni";"Genealogiae deorum. De montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus, de nominibus maris. Add: Domenico di Bandino: Tabula";"classical studies; encyclopedia; collection; index";"literature"
"Boccaccio, Giovanni";"Il Corbaccio";;"literature"
"Boethius";"De consolatione philosophiae (with commentary ascribed in the text to Thomas Aquinas). Add: Johannes Gerson, De consolatione theologiae";"Commentary; Education; Collection; Theology-moral; Theology-moral";"Philosophy"
"Boethius";"De consolatione philosophiae. Add: Pseudo- Boethius: De disciplina scholarium. Comm: Pseudo- Thomas Aquinas. Ed: Conradus Poseiaen";"Theology-moral; Theology-moral; Commentary; Education; Collection";"Philosophy"
