"data.hostItem.author";"data.hostItem.title";"data.hostItem.keywords";"data.hostItem.subject"
"Albertus Magnus";"Mariale";"or literature-devotional?";"literature-moral"
"Albertus Magnus";"Metaphysica";;"philosophy"
"Albertus Magnus";"Sermones de tempore et de sanctis";;"theology-pastoral"
"Albertus Magnus";"Summa de creaturis";"education";"theology-speculative"
"Albertus de Padua";"Expositio evangeliorum dominicalium et festivalium";"theology-practical?";"theology-biblical"
"Albertus de Padua";"Expositio evangeliorum dominicalium et festivalium. Add: Nicolaus de Dinkelsbuel: Concordantia in passionem dominicam";"theology-practical?";"theology-biblical"
"Albumasar";"Introductorium in astronomiam. Tr: Hermannus Dalmata";"translation; education";"astronomy"
"Alchabitius";"Libellus isagogicus. Tr: Johannes Hispalensis. Add: Johannes de Saxonia: In Alchabitium (Corr: Bartholomaeus Alten)";"translation; education; collection";"astrology"
"Alexander Carpentarius";"Destructorium vitiorum";;"theology-moral"
"Alexander VI, Pont. Max. (formerly Rodrigo Borgia)";"Bulla 7 Oct. 1494 ""Licet ea"" confirming the marriage of Henry VII and Elizabeth of York";"current affairs";"Law-canon"
"Alexander de Ales";"Summa universae theologiae (i.e. Super IV libros sententiarum Petri Lombardi)";;"theology-speculative"
"Alliaco, Petrus de";"Quaestiones super libros Sententiarum Petri Lombardi. Add: Recommendatio S. Scripturae; Principium in cursum Bibliae; Quaestio in suis vesperiis; Quaestio de resumpta";"commentary?";"theology-biblical"
"Alliaco, Petrus de";"Quaestiones super libros Sententiarum Petri Lombardi. Add: Recommendatio S. Scripturae; Principium in cursum Bibliae; Quaestio in suis vesperiis; Quaestio de resumpta. Ed. Jacobus Merlinus";"commentary?";"theology-biblical"
"Alphonsus de Spina";"Fortalitium fidei";"hebraica; polemical works";"theology-speculative"
"Alphonsus de Spina";"Fortalitium fidei";"polemical works; hebraica";"theology-speculative"
"Alphonsus, Rex Castellae";"Tabulae astronomicae. Ed: Johannes Lucilius Santritter. With additions by Augustinus Moravus. Add: Johannes Lucilius Santritter: Canones in tabulas Alphonsi";"collection";"astronomy"
"Ambrosius, S";"Opera. Ed: Johann Amerbach, Johannes (Heynlin) de Lapide";;"theology"
"Angelus de Clavasio";"Summa angelica de casibus conscientiae. With additions by Hieronymus Tornieli";;"theology-pastoral"
"Annius, Johannes, Viterbiensis";"Auctores vetustissimi (Comm: Johannes Annius)";"literary forgery; classical studies";"literature"
"Anselmus, S";"Cur deus homo";;"theology-speculative"
"Anselmus, S";"Cur deus homo";;"theology-speculative"
"Anselmus, S";"Dialogus Anselmi et Beatae Mariae Virginis de Passione Jesu Christi";;"theology-speculative"
"Anselmus, S";"Opera";"collection";"theology-speculative"
"Anselmus, S";"Opera";"collection";"theology-speculative"
"Anselmus, S";"Opera";"collection";"theology-speculative"
"Anselmus, S";"Opera";"collection";"theology-speculative"
"Anselmus, S";"Opera. Ed: Petrus Danhauser";"collection";"theology-speculative"
"Antoninus Florentinus";"Chronicon, Partes I-III";"history";"theology-speculative"
"Antoninus Florentinus";"Chronicon, Partes I-III";"history";"theology-speculative"
"Aristoteles";"Opera [Greek]. Contains also works of Galenus (II); Philo Judaeus (II); Theophrastus (II-IV); Alexander Aphrodisaeus (IV)";"education; collection; philosophy-logic; medicine; philosophy-natural";"philosophy"
"Asconius Pedianus, Quintus";"Commentarii in orationes Ciceronis. Ed: Hieronymus Squarzaficus. Add: Georgius Trapezuntius: De artificio Ciceronianae orationis Pro Quinto Ligario. Antonius Luschus: Inquisitio super xi orationes Ciceronis. Sicco Polentonus: Argumenta super xii orationibus et invectivis Ciceronis";"commentary; education; classical studies; collection";"Rhetoric"
"Astesanus de Ast";"Summa de casibus conscientiae. Ed: Bartholomaeus de Bellatis and Gometius de Ulixbona";;"theology pastoral"
"Augustinus de Ancona";"Summa de potestate ecclesiastica";"education";"theology-pastoral"
"Augustinus de Ancona";"Summa de potestate ecclesiastica. Ed: Paulus de Bergamo";"education";"theology-pastoral"
"Augustinus, Aurelius";"De civitate dei (Comm: Thomas Waleys and Nicolaus Trivet)";"philosophy-political";"theology-speculative"
"Bartholomaeus Anglicus";"De proprietatibus rerum [English] (Tr: John Trevisa)";"translation; encyclopedia; education";"philosophy"
"Bartholomaeus Brixiensis";"Casus decretorum";"education";"law-canon"
"Bartholomaeus de Sancto Concordio";"Summa de casibus conscientiae";;"theology-pastoral"
"Barzizius, Gasparinus";"Epistolae";"letter collection; education";"literature"
"Berengarius de Landora";"Lumen animae. Ed: Matthias Farinator";;"theology-moral"
